         96116814 function calls (96095838 primitive calls) in 44.675 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      714    0.004    0.000    0.012    0.000 inspect.py:2368(_signature_from_function)
    96867    0.012    0.000    0.012    0.000 {method 'startswith' of 'str' objects}
      976    0.001    0.000    0.012    0.000 __init__.py:711(__setitem__)
        1    0.000    0.000    0.012    0.012 legend.py:1(<module>)
        1    0.000    0.000    0.012    0.012 defmatrix.py:1(<module>)
        1    0.000    0.000    0.011    0.011 _base.py:1381(clear)
        1    0.000    0.000    0.011    0.011 _base.py:1254(__clear)
        1    0.000    0.000    0.011    0.011 interpolative.py:1(<module>)
        1    0.011    0.011    0.011    0.011 {built-in method set_icon}
        1    0.000    0.000    0.011    0.011 image.py:1(<module>)
     1330    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap>:162(__enter__)
       58    0.000    0.000    0.011    0.000 __init__.py:226(compile)
    78387    0.011    0.000    0.011    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.011    0.011 sb_scale_function.py:1(<module>)
        1    0.000    0.000    0.011    0.011 linalg.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _compressed.py:1(<module>)
        1    0.000    0.000    0.010    0.010 parse.py:1(<module>)
        1    0.000    0.000    0.010    0.010 offsetbox.py:1(<module>)
    49509    0.010    0.000    0.010    0.000 tempered_stable_random_variable.py:43(mean)
        1    0.000    0.000    0.010    0.010 _threadsafety.py:1(<module>)
        1    0.000    0.000    0.010    0.010 contextvars.py:1(<module>)
        1    0.000    0.000    0.010    0.010 helpers.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _interpolative_backend.py:1(<module>)
        1    0.000    0.000    0.010    0.010 socket.py:1(<module>)
        1    0.000    0.000    0.009    0.009 lines.py:1(<module>)
        3    0.000    0.000    0.009    0.003 common.py:1(<module>)
      212    0.000    0.000    0.009    0.000 _compiler.py:571(_code)
     4650    0.009    0.000    0.009    0.000 {built-in method numpy.array}
     6299    0.005    0.000    0.009    0.000 inspect.py:2729(__init__)
        1    0.000    0.000    0.009    0.009 _lil.py:1(<module>)
        1    0.000    0.000    0.009    0.009 _mathtext.py:1814(Parser)
     1144    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:481(cache_from_source)
        1    0.000    0.000    0.009    0.009 polar.py:1(<module>)
      437    0.000    0.000    0.009    0.000 artist.py:1536(number_of_parameters)
154547/153428    0.009    0.000    0.009    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.009    0.009 decoder.py:1(<module>)
       94    0.001    0.000    0.009    0.000 __init__.py:1391(_preprocess_data)
        1    0.000    0.000    0.009    0.009 common.py:8(pyparsing_common)
        1    0.000    0.000    0.009    0.009 ivp.py:1(<module>)
       25    0.009    0.000    0.009    0.000 {built-in method unicodedata.name}
     1330    0.007    0.000    0.009    0.000 <frozen importlib._bootstrap>:124(setdefault)
    77822    0.009    0.000    0.009    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.009    0.009 _globals.py:1(<module>)
     2707    0.008    0.000    0.008    0.000 {method '__exit__' of '_thread.RLock' objects}
        3    0.000    0.000    0.008    0.003 utils.py:1(<module>)
      706    0.008    0.000    0.008    0.000 __init__.py:89(find_spec)
        1    0.000    0.000    0.008    0.008 secrets.py:1(<module>)
  439/364    0.000    0.000    0.008    0.000 typing.py:371(inner)
18930/18921    0.006    0.000    0.008    0.000 {method 'join' of 'str' objects}
     5178    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.000    0.000    0.008    0.008 units.py:1(<module>)
        1    0.001    0.001    0.007    0.007 dates.py:1(<module>)
        1    0.000    0.000    0.007    0.007 decimal.py:1(<module>)
        1    0.000    0.000    0.007    0.007 scale.py:1(<module>)
      682    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
       14    0.000    0.000    0.007    0.001 core.py:618(set_parse_action)
      954    0.000    0.000    0.007    0.000 artist.py:1542(is_alias)
       18    0.000    0.000    0.007    0.000 core.py:269(_trim_arity)
        1    0.000    0.000    0.007    0.007 _root.py:1(<module>)
        1    0.000    0.000    0.007    0.007 backend_agg.py:1(<module>)
        1    0.000    0.000    0.007    0.007 backend_tools.py:1(<module>)
        1    0.000    0.000    0.007    0.007 traceback.py:224(extract_stack)
        1    0.000    0.000    0.007    0.007 traceback.py:380(extract)
        1    0.000    0.000    0.007    0.007 traceback.py:402(_extract_from_extended_frame_gen)
        3    0.000    0.000    0.007    0.002 _add_newdocs.py:1(<module>)
       36    0.000    0.000    0.007    0.000 traceback.py:321(line)
        1    0.000    0.000    0.007    0.007 tz.py:1(<module>)
        2    0.000    0.000    0.007    0.004 linecache.py:26(getline)
        2    0.000    0.000    0.007    0.004 linecache.py:36(getlines)
        1    0.000    0.000    0.007    0.007 scanner.py:1(<module>)
      325    0.000    0.000    0.007    0.000 function_base.py:497(add_newdoc)
        1    0.000    0.000    0.007    0.007 linecache.py:80(updatecache)
        1    0.000    0.000    0.007    0.007 arpack.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _kdtree.py:1(<module>)
4708/4275    0.003    0.000    0.007    0.000 {built-in method __new__ of type object at 0x1021a4a48}
     1330    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.007    0.007 legend.py:342(Legend)
 1084/212    0.003    0.000    0.007    0.000 _compiler.py:37(_compile)
        1    0.003    0.003    0.007    0.007 backend_macosx.py:39(__init__)
     4252    0.003    0.000    0.007    0.000 artist.py:1555(aliased_name)
        1    0.000    0.000    0.007    0.007 _nnls.py:1(<module>)
        1    0.000    0.000    0.007    0.007 pyplot.py:3367(legend)
        1    0.000    0.000    0.007    0.007 _axes.py:204(legend)
        7    0.000    0.000    0.007    0.001 legend_handler.py:171(__init__)
       12    0.007    0.001    0.007    0.001 legend_handler.py:62(__init__)
        1    0.000    0.000    0.007    0.007 legend_handler.py:524(__init__)
     1347    0.006    0.000    0.006    0.000 {method 'remove' of 'list' objects}
        5    0.000    0.000    0.006    0.001 _axes.py:1476(plot)
        1    0.000    0.000    0.006    0.006 legend.py:354(__init__)
       18    0.000    0.000    0.006    0.000 rcsetup.py:799(validate_cycler)
        1    0.000    0.000    0.006    0.006 cm.py:1(<module>)
        1    0.000    0.000    0.006    0.006 flinalg.py:1(<module>)
       43    0.003    0.000    0.006    0.000 __init__.py:355(namedtuple)
        1    0.000    0.000    0.006    0.006 linsolve.py:1(<module>)
        1    0.000    0.000    0.006    0.006 quiver.py:1(<module>)
        2    0.000    0.000    0.006    0.003 axis.py:882(clear)
        1    0.000    0.000    0.006    0.006 _flinalg_py.py:1(<module>)
        1    0.000    0.000    0.006    0.006 ticker.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _ccallback.py:1(<module>)
        4    0.000    0.000    0.006    0.001 tempered_skewed_stable_random_process.py:8(__init__)
       37    0.001    0.000    0.006    0.000 enum.py:515(__new__)
        1    0.006    0.006    0.006    0.006 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.006    0.006 bz2.py:1(<module>)
        1    0.000    0.000    0.006    0.006 legend.py:854(_init_legend_box)
        1    0.000    0.000    0.006    0.006 axis3d.py:1(<module>)
        2    0.000    0.000    0.006    0.003 axis.py:794(_set_scale)
        2    0.000    0.000    0.006    0.003 scale.py:103(set_default_locators_and_formatters)
        1    0.000    0.000    0.006    0.006 _validation.py:1(<module>)
        2    0.000    0.000    0.005    0.003 ticker.py:425(__init__)
        2    0.000    0.000    0.005    0.003 ticker.py:537(set_useMathText)
        2    0.000    0.000    0.005    0.003 font_manager.py:1233(findfont)
        1    0.000    0.000    0.005    0.005 _linprog_rs.py:1(<module>)
        1    0.000    0.000    0.005    0.005 scale_function.py:22(profile)
       14    0.000    0.000    0.005    0.000 hashlib.py:126(__get_openssl_constructor)
        1    0.001    0.001    0.005    0.005 font_manager.py:1393(_findfont_cached)
       50    0.000    0.000    0.005    0.000 pos_drift_stable_scale_function.py:16(value)
        1    0.000    0.000    0.005    0.005 artist.py:1(<module>)
       50    0.000    0.000    0.005    0.000 __init__.py:588(Mittag_Leffler_one)
        1    0.000    0.000    0.005    0.005 _ellip_harm.py:1(<module>)
        1    0.000    0.000    0.005    0.005 layout_engine.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _expm_multiply.py:1(<module>)
        1    0.000    0.000    0.005    0.005 rrule.py:1(<module>)
       50    0.003    0.000    0.005    0.000 __init__.py:357(LTInversion)
     1195    0.003    0.000    0.005    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.005    0.005 _linesearch.py:1(<module>)
        2    0.000    0.000    0.005    0.002 hashlib.py:82(__get_builtin_constructor)
        2    0.000    0.000    0.005    0.002 polynomial.py:1(<module>)
        1    0.000    0.000    0.005    0.005 base64.py:1(<module>)
        1    0.005    0.005    0.005    0.005 _type_aliases.py:123(_add_integer_aliases)
        1    0.000    0.000    0.005    0.005 ExifTags.py:1(<module>)
     1248    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:632(cached)
       10    0.000    0.000    0.005    0.000 core.py:5706(__init__)
       61    0.002    0.000    0.005    0.000 {built-in method builtins.eval}
       48    0.000    0.000    0.005    0.000 __init__.py:1347(_add_data_doc)
     8945    0.005    0.000    0.005    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.005    0.005 _decomp_lu.py:1(<module>)
     30/9    0.000    0.000    0.005    0.001 core.py:4577(leave_whitespace)
      879    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.005    0.005 subprocess.py:1(<module>)
        1    0.000    0.000    0.005    0.005 main.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _minpack_py.py:1(<module>)
      964    0.003    0.000    0.005    0.000 inspect.py:3015(__init__)
      676    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:610(_get_cached)
      944    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
    16562    0.004    0.000    0.004    0.000 {method 'rstrip' of 'str' objects}
    49854    0.004    0.000    0.004    0.000 multiarray.py:153(concatenate)
      317    0.001    0.000    0.004    0.000 overrides.py:142(decorator)
      461    0.001    0.000    0.004    0.000 core.py:522(copy)
        1    0.000    0.000    0.004    0.004 font_manager.py:1564(_load_fontmanager)
